71;Energie-Stockage-Conversion;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
72;Philosophie des sciences et techniques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
73;Algorithme et raisonnement;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
74;Bio-ingénierie et Nanotechnologies;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
75;Ingénieur Business Development;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
76;Introduction aux vibrations non-linéaires;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
77;Acoustique Environnementale;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
78;Acoustique générale;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
79;Nanotechnologie;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
80;Bruit des transports;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
81;Marketing;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
82;Droit du travail;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
83;Production et Distribution d'Energie Electrique (PDEE);Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
84;Relations sociales en entreprise;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
85;Application concurrente mobile;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
86;Systèmes automatisés de production;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
87;Vivant, information, système;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
88;Méthodes numériques en mécanique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
89;Méthode des Éléments finis : théorie et mise en oeuvre;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
90;Systèmes embarqués collaboratifs;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
91;Contrôle non destructif;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
92;Ingénierie pour la santé;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
93;Interaction sol-structure;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
94;Élaboration de pièces techniques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
95;Conception d’un emballage responsable;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
96;Circuits et Dispositifs en Micro-Ondes;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
97;Design de l'interaction et prototypage rapide par fablab;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
98;Capteurs et traitement d’images;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
99;Simulation multiphysiques en conception mécanique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
100;Gestion et finance d’entreprise;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
101;Théorie des probabilités : inroduction aux processus  aléatoires;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
102;Filtrage adaptatif : application au contrôle actif de bruit;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
103;Application Web;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
104;Écoulement diphasique et systèmes énergétiques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
105;PLM-Maquette numérique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
106;Mécanismes et contacts;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
107;Réseaux locaux industriels (RLI);Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
108;Savoir choisir un matériau;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
109;Propulseurs aéronautiques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
110;Systèmes Mécatroniques Intelligents;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
111;Matériaux du génie électrique et applications;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
112;Ordre, chaos, fractales;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
113;Finance de marché;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
114;Aéronautique;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
115;Énergie;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
116;Génie civil et Environnement;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
117;Informatique et Communication;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
118;Mathématiques et Décision;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
119;Transport et Trafic;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
120;Classe entrepreneuriale;Centrale Lyon;Option 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
121;Ingénieur Consultant;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
122;Ingénieur Éco-Conception et Innovation;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
123;Ingénieur Gestion des Opérations  Industrielles;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
124;Ingénieur Supply Chain;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
125;Ingénieur Recherche Innovation et Développement;Centrale Lyon;Metier 3A;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
126;Aérodynamique transsonique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
127;Algorithmes pour la décision en entreprise;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
128;Calculs Avancés en Dynamique des Véhicules;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
129;Choix des matériaux et des assemblages;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
130;Compatibilité électromagnétique des systèmes de puissance et interaction avec leur environnement;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
131;Contrôle Actif du Bruit et des Vibrations;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
132;Couches ultraminces et surfaces fonctionnalisées;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
133;Dynamique des mécanismes;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
134;Ecoulements instationnaires en turbomachine;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
135;Energie et impact sur l'environnement;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
136;Génie de l'Océan et du Littoral;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
137;Géotechnique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
138;Gestion de l'énergie dans les véhicules;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
139;Informatique d'entreprise;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
140;Informatique Graphique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
141;Ingénierie des Connaissances;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
142;Ingénierie tissulaire et biomatériaux;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
143;Macro Energie;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
144;Méthodes expérimentales en mécanique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
145;Méthodes performantes pour le calcul scientifique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
146;Microsystèmes, microcapteurs, microfluidique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
147;Modélisation et gestion du trafic;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
148;Nouvelles Technologies de l'Information et de la Communication;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
149;Ouvrages de Production d'Energie;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
150;Phénomènes complexes en dynamique des structures;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
151;Pollution Atmosphérique;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
152;Procédés généraux de construction;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
153;Séries Temporelles;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
154;Stratégie d'entreprise;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
155;Sureté de fonctionnement des systèmes et des structures;Centrale Lyon;Modules ouverts sectoriels;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
156;Aérodynamique et Energétique des Turbomachines;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
157;Aerodynamique externe;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
158;Aléas et hétérogénéités dans les structures;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
159;Analyse des assemblages : géométrie et architecture;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
160;Biomasse et Bioénergie;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
161;Bruits d'origine aérodynamique;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
162;Caractérisation des surfaces et des nanostructures;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
163;Combustion pour la propulsion;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
164;Comportement des matériaux;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
165;Diagnostic et Commande sure des systèmes;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
166;Dynamique de l'Atmosphère;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
167;Dynamique des structures;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
168;Dynamique des systèmes biologiques humains;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
169;Dynamique des systèmes non-linéaires;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
170;Energie Nucléaire;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
171;Energie Stockage-Conversion;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
172;Extraction de Connaissances;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
173;Green Computing;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
174;Hydraulique Fluviale;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
175;Identification et commande par Optimisation (ICO);Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
176;Ingénierie d'un objet de grande consommation;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
177;Interactions fluide-structure;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
178;Interactions humains-machine;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
179;Les turbines pour la production d'énergie;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
180;Le système électrique;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
181;Matériaux de construction;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
182;Microsystèmes Autonomes;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
183;Photonique;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
184;Physique des écoulements turbulents;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
185;Physique pour les technologies de l'information;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
186;Processus Stochastiques: modèles et méthodes  numériques;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
187;Propagation des ondes élastiques;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
188;Recherche opérationnelle;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
189;Reconnaissance et comportement des sols;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
190;Représentation et manipulation de données structurées;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
191;Réseaux de télécommunications;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
192;Réseaux informatiques;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
193;Risques Naturels et Technologiques;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
194;Simulation numérique des écoulements;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
195;Stabilité des Systèmes Mécaniques;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
196;Méthodes variationnelles pour les EDP;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
197;Méthodes numériques pour les EDP;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
198;Statistiques appliquées à l'art de l'ingénieur;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
199;Systèmes de bases de données;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
200;Systèmes d'information en entreprise;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
201;Systèmes embarqués en environnement hostile;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
202;Tenue en service des matériaux et des structures;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
203;Traitement et analyse des données visuelles et sonores;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
204;Tribologie : principes et applications;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
205;Systèmes d'ingénierie;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
206;Management de la qualité;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
207;Management de l'entreprise industrielle;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
208;Intelligence économique et protection de l'information;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
209;Droit de l'entreprise;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
210;Management des ressources humaines et des organisations;Centrale Lyon;Modules ouverts metier;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
211;Electronique de puissance;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
212;Info: Stratégies de résolution de problèmes;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
213;Fle: Turbulences et instabilités;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
214;Ecologie et environnement;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
215;Ecoulements physiologiques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
216;Statistiques et économétrie;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
217;Chimie Moléculaire et SupraMoléculaire;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
218;Conception et optimisation de dispositifs électromagnétiques;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
219;Multimédia;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
220;Systèmes mécaniques polyarticulés;Centrale Lyon;Semestre 7;Cycle Ingénieur Généraliste;Années 1 et 2
221;MSc International Health Management
222;Health Systems, Policy and Financing;Imperial College London;MSc International Health Management;Masters
223;Health Informatics;Imperial College London;MSc International Health Management;Masters
224;Health Economics;Imperial College London;MSc International Health Management;Masters
225;Management challenges of healthcare organisations;Imperial College London;MSc International Health Management;Masters
226;Accounting;Imperial College London;MSc International Health Management;Masters
227;Strategic Management;Imperial College London;MSc International Health Management;Masters
228;Organisational Behaviour & Human Resource Management;Imperial College London;MSc International Health Management;Masters
229;Managing Change & Innovation in Healthcare;Imperial College London;MSc International Health Management;Masters
230;Marketing;Imperial College London;MSc International Health Management;Masters
231;Evaluating Evidence for Managerial Decision Making;Imperial College London;MSc International Health Management;Masters
232;Entrepreneurship and business plan competition;Imperial College London;MSc International Health Management;Masters
233;Contemporary Topics in Healthcare;Imperial College London;MSc International Health Management;Masters
234;Healthcare Sector Project (Consulting);Imperial College London;MSc International Health Management;Masters
235;Master en technologies médicales à la Technische Universität München (TUM)
236;Kunststoffe und Kunststofftechnik;Technische Universität München;Master Medizintechnik
237;Biokompatible Werkstoffe;Technische Universität München;Master Medizintechnik
238;Qualitätsmanagement;Technische Universität München;Master Medizintechnik
239;Physiologie;Technische Universität München;Master Medizintechnik
240;Bewegungstechnik;Technische Universität München;Master Medizintechnik
241;Automatisierungstechnik in der Medizin;Technische Universität München;Master Medizintechnik
242;Unternehmensführung für Ingenieure;Technische Universität München;Master Medizintechnik
243;Luft- und Raumfahrtmedizin;Technische Universität München;Master Medizintechnik
244;Materialfluss und Logistik;Technische Universität München;Master Medizintechnik
245;Auslegung, Herstellung und Prüfung medizinischer Implantate;Technische Universität München;Master Medizintechnik
246;Programmation avancée;Centrale Paris;Semestre 7;Programme ingénieur
247;Modélisation aléatoire;Centrale Paris;Semestre 7;Programme ingénieur
248;Mathématiques financières;Centrale Paris;Semestre 7;Programme ingénieur
249;Communications numériques et réseaux;Centrale Paris;Semestre 7;Programme ingénieur
